smiles,mol,tpsa,mol_w,qed,HBA,HBD,logP,MR
CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(N)=O)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC090>,87.46000000000001,412.18992600800067,0.5379056893505315,4,3,3.779600000000002,124.30130000000004
CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(N)=O)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC0F0>,87.46000000000001,412.18992600800067,0.5379056893505315,4,3,3.779600000000002,124.30130000000004
CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC150>,64.68,440.2212261360008,0.5585157628265266,4,2,4.382500000000003,133.80089999999998
CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC1B0>,64.68,440.2212261360008,0.5585157628265266,4,2,4.382500000000003,133.80089999999998
OC(=O)c1cc2ccccc2s1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC210>,37.3,178.008850432,0.7283170522070754,3,1,2.599500000000001,48.78430000000002
Cc1ccc2N=C3N(CC[C@@]3(O)C(=O)c2c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC270>,52.9,292.12117775200045,0.8790197909352631,4,1,2.8627200000000013,85.95930000000003
Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC2D0>,52.9,292.12117775200045,0.8790197909352631,4,1,2.8627200000000013,85.95930000000003
C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)C(NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCNCCCCN,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC330>,665.12,1439.5921828680025,0.018453299212730704,33,22,-8.252980000000008,345.85540000000026
C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC390>,627.07,1414.5184321280924,0.015025866135446675,31,20,-7.703580000000028,338.7773000000003
C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC3F0>,627.07,1414.5184321280924,0.015025866135446675,31,20,-7.703580000000028,338.7773000000003
CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(nc(N)c1C)C(CC(N)=O)NCC(N)C(N)=O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC450>,627.07,1414.5184321280924,0.015025866135446675,31,20,-7.703580000000028,338.7773000000003
C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC4B0>,627.07,1414.5184321280924,0.015025866135446675,31,20,-7.703580000000028,338.7773000000003
CCN1CCN(CC1)c1cc(-c2ccc(F)cc2)c2CCCCCCc2n1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC510>,19.37,367.24237618000086,0.7845609545042488,3,0,4.6886000000000045,109.83400000000006
COc1cc(OC)c(Cl)c(-c2ccc3nc(Nc4c(C)cccc4NC(=O)C=C)ncc3c2)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC570>,85.37,508.10689592400064,0.26678972264740286,6,2,6.7973200000000045,141.3863999999999
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)N3CCOCC3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC5D0>,60.769999999999996,426.1346348960006,0.6378317790748657,5,0,3.701520000000002,115.51050000000005
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)N3CCOCC3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC630>,60.769999999999996,426.1346348960006,0.6378317790748657,5,0,3.701520000000002,115.51050000000005
COc1cccc(c1)-c1cc(NCc2ccc3OCOc3c2)nc(N)n1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC690>,91.52,350.1378904360006,0.7304190487493654,7,2,3.0751999999999997,98.32410000000002
CN(C)c1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC6F0>,75.44,345.11471246800056,0.7849746603225458,5,1,3.311440000000002,95.06050000000003
CN(C)c1cccc2c(cccc12)S(=O)(=O)Nc1onc(C)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC750>,75.44,345.11471246800056,0.7849746603225458,5,1,3.311440000000002,95.06050000000003
Oc1ccc(Cl)cc1Cn1nc(oc1=O)-c1ccc(cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC7B0>,68.25999999999999,370.03320452000025,0.7581776468759984,5,1,3.929400000000001,83.41980000000001
Oc1ccc(Cl)cc1Cn1nc(oc1=O)-c1ccc(cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC810>,68.25999999999999,370.03320452000025,0.7581776468759984,5,1,3.929400000000001,83.41980000000001
